mode,poll_count,busy_cycles,q0_latency,q1_latency,q2_latency,q3_latency,retry_count,lost,early_retire,duplicate,status
baseline_spin,50,113,104,109,114,119,0,0,0,0,PASS
release_backoff,18,66,105,11,16,21,17,0,0,0,PASS
